Vaakuna,Kunta-nro[4],Kunnan nimi,Nimitys,Kielet,Kuntakeskus,Maakunta,Seutukunta,Väkiluku[5],Kok.pinta-ala (km²)[6],Maapinta-ala (km²)[6],Väestötiheys(as./km²)
,739,Savitaipale,kunta,suomi,Savitaipaleen kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta,3 285,"690,56","539,12","6,1"
,740,Savonlinna,kaupunki,suomi,Savonlinnan keskustaajama,Etelä-Savo,Savonlinnan seutukunta,32 601,"3 597,69","2 238,17","14,6"
,742,Savukoski,kunta,suomi,Savukosken kirkonkylä,Lappi,Itä-Lapin seutukunta,1 025,"6 496,57","6 439,65","0,16"
,743,Seinäjoki,kaupunki,suomi,Seinäjoen keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta,64 719,"1 469,23","1 431,78","45,2"
,746,Sievi,kunta,suomi,Sievin kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,4 770,"800,43","786,95","6,1"
,747,Siikainen,kunta,suomi,Siikaisten kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta,1 368,"491,31","463,30",3
,748,Siikajoki,kunta,suomi,Ruukki,Pohjois-Pohjanmaa,Raahen seutukunta,5 024,"1 062,79","1 054,07","4,8"
,791,Siikalatva,kunta,suomi,Pulkkilan kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,5 159,"2 229,81","2 173,37","2,4"
,749,Siilinjärvi,kunta,suomi,Siilinjärven kirkonkylä,Pohjois-Savo,Kuopion seutukunta,21 289,"507,81","400,97","53,1"
,751,Simo,kunta,suomi,Simon asemanseutu,Lappi,Kemi–Tornion seutukunta,2 947,"1 467,29","1 447,29",2
,753,Sipoo,kunta,"suomi, ruotsi",Nikkilä[7],Uusimaa,Helsingin seutukunta,22 119,"342,71","339,69","65,1"
,755,Siuntio,kunta,"suomi, ruotsi",Siuntion asemanseutu,Uusimaa,Helsingin seutukunta,6 194,"249,95","241,11","25,7"
,758,Sodankylä,kunta,"suomi, pohjoissaame",Sodankylän kirkonkylä,Lappi,Pohjois-Lapin seutukunta,8 185,"12 415,34","11 692,75","0,7"
,759,Soini,kunta,suomi,Soinin kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,1 988,"574,22","551,95","3,6"
,761,Somero,kaupunki,suomi,Someron keskustaajama,Varsinais-Suomi,Salon seutukunta,8 579,"697,68","667,98","12,8"
,762,Sonkajärvi,kunta,suomi,Sonkajärven kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,3 798,"1 576,79","1 465,91","2,6"
,765,Sotkamo,kunta,suomi,Sotkamon kirkonkylä[25],Kainuu,Kajaanin seutukunta,10 332,"2 951,85","2 648,74","3,9"
,766,Sottunga,kunta,ruotsi,Sottunga,Ahvenanmaa,Ålands skärgård,104,"28,05","28,03","3,7"
,768,Sulkava,kunta,suomi,Sulkavan kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,2 442,"769,20","584,54","4,2"
